number,company,symbol,ytd_return
438,Texas Pacific Land Corporation,TPL,   -16.34
439,ON Semiconductor,ON,   -16.41
440,Targa Resources,TRGP,   -16.85
441,"UDR, Inc.",UDR,   -16.86
442,Kraft Heinz,KHC,   -16.97
443,Occidental Petroleum,OXY,   -17.11
444,West Pharmaceutical Services,WST,   -17.41
445,Fair Isaac,FICO,   -17.50
446,Molson Coors Beverage Company,TAP,   -17.52
447,Fidelity National Information Services,FIS,   -17.79
448,Halliburton,HAL,   -17.82
449,PG&E Corporation,PCG,   -18.16
450,Viatris,VTRS,   -18.19
451,LKQ Corporation,LKQ,   -18.29
452,Regeneron Pharmaceuticals,REGN,   -18.87
453,KKR,KKR,   -20.36
454,IDEX Corporation,IEX,   -20.49
455,Baxter International,BAX,   -20.61
456,PayPal,PYPL,   -20.91
457,Comcast,CMCSA,   -21.25
458,Cooper Companies (The),COO,   -21.45
459,Old Dominion,ODFL,   -21.52
460,Smurfit WestRock,SW,   -22.03
461,Bristol Myers Squibb,BMY,   -22.90
462,Copart,CPRT,   -22.93
463,Alexandria Real Estate Equities,ARE,   -22.97
464,Erie Indemnity,ERIE,   -23.30
465,Zebra Technologies,ZBRA,   -23.33
466,Hormel Foods,HRL,   -23.61
467,Global Payments,GPN,   -23.79
468,General Mills,GIS,   -23.82
469,Akamai Technologies,AKAM,   -23.83
470,International Flavors & Fragrances,IFF,   -24.75
471,Brown–Forman,BF.B,   -25.00
472,Adobe Inc.,ADBE,   -25.03
473,Charter Communications,CHTR,   -26.11
474,Clorox,CLX,   -26.30
475,Apollo Global Management,APO,   -26.46
476,Campbell Soup Company,CPB,   -26.71
477,Salesforce,CRM,   -27.16
478,Kenvue,KVUE,   -28.43
479,Edison International,EIX,   -28.79
480,UnitedHealth Group,UNH,   -29.86
481,Chipotle Mexican Grill,CMG,   -30.68
482,United Parcel Service,UPS,   -31.45
483,ONEOK,OKE,   -32.08
484,Accenture,ACN,   -32.20
485,Target Corporation,TGT,   -32.90
486,Conagra Brands,CAG,   -33.05
487,Eastman Chemical Company,EMN,   -33.05
488,Molina Healthcare,MOH,   -33.89
489,GoDaddy,GDDY,   -34.73
490,Constellation Brands,STZ,   -36.45
491,Moderna,MRNA,   -37.10
492,Align Technology,ALGN,   -37.40
493,LyondellBasell,LYB,   -37.71
494,EPAM Systems,EPAM,   -38.35
495,FactSet,FDS,   -40.66
496,Fiserv,FI,   -40.82
497,Centene Corporation,CNC,   -41.67
498,Dow Inc.,DOW,   -45.46
499,CarMax,KMX,   -47.39
500,Deckers Brands,DECK,   -50.82
501,Gartner,IT,   -51.33
502,Lululemon Athletica,LULU,   -56.22
503,"The Trade Desk, Inc.",TTD,   -57.40
